"'SALT,TABLE                                                                 '"
"'CARBONATED BEV,CLUB SODA                                                   '"
"'CARBONATED BEV,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE               '"
"'CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF               '"
"'CARBONATED BEV,LO CAL,COLA OR PEPR,W/ NA SACC,CONTAINS CAFFN               '"
"'COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O,DECAFFEINATED                   '"
"'COFFEE,BREWED,ESPRESSO,REST-PREP,DECAFFEINATED                             '"
"'WATER,BTLD,PERRIER                                                         '"
"'WATER,BTLD,POLAND SPRING                                                   '"
"'WATER,TAP,DRINKING                                                         '"
"'WATER,TAP,WELL                                                             '"
"'WATER,TAP,MUNICIPAL                                                        '"
"'WATER,BTLD,NON-CARBONATED,DANNON                                           '"
"'WATER,BTLD,NON-CARBONATED,PEPSI,AQUAFINA                                   '"
"'WATER,BTLD,NON-CARBONATED,DASANI                                           '"
"'WATER,BTLD,NON-CARBONATED,CALISTOGA                                        '"
"'WATER,BTLD,NON-CARBONATED,CRYSTAL GEYSER                                   '"
"'WATER,BTLD,NON-CARBONATED,NAYA                                             '"
"'WATER,BTLD,NON-CARBONATED,DANNON FLUORIDE TO GO                            '"
"'CARBONATED BEV,LOCAL,OTHR THAN COLA OR PEP,W/ NA SAC,WO/ CAF               '"
"'WATER,BTLD,GENERIC                                                         '"
"'WATER,BTLD,NON-CARBONATED,EVIAN                                            '"
"'LEAVENING AGENTS,BAKING SODA                                               '"
"'CARBONATED BEV,LO CAL,COLA OR PEPPR-TYPE,W/ ASPRT,WO/ CAFFEN               '"
"'COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O                                 '"
"'TEA,BREWED,PREP W/TAP H2O,DECAFFEINATED                                    '"
"'TEA,BREWED,PREP W/TAP H2O                                                  '"
"'TEA,INST,UNSWTND,PDR,PREP                                                  '"
"'TEA,HERB,OTHER THAN CHAMOMILE,BREWED                                       '"
