02047,0200,0.2,0,0,0,99.8,0,0,0,24,0.33,1,0,8,38758,0.1,0.03,0.1,0.1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,18,0
14121,1400,99.9,0,0,0,0.1,0,0,0,5,0.01,1,0,2,21,0.1,0.006,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.60000038,474,0
14143,1400,99.8,0,0.1,0,0.1,0,0,0,4,0.04,1,0,2,6,0,0.025,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.60000038,355,0
14151,1400,99.8,0,0.1,0,0.1,0,0,0,4,0.04,1,0,2,6,0,0.025,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.60000038,355,0
14166,1400,99.8,0,0,0,0.1,0.1,0,0,4,0.02,1,11,4,16,0.03,0.013,0.009,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.60000038,474,0
14201,1400,99.3,0,0.1,0,0.1,0,0,0,2,0.05,5,1,54,2,0.02,0.007,0.027,0.1,0,0,0,0.222,0.001,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.002,0,0.002,0,237,29.60000038,0
14202,1400,97.8,0,0.1,0.18,0.23,0,0,0,2,0.13,80,7,115,14,0.05,0.05,0.05,0,0.2,0.001,0.177,5.207,0.028,0.002,1,0,1,1,0,0,0,0,0,0.1,0,0,0,0,0,0.092,0,0.092,0,29.60000038,-1,0
14384,1400,99.9,0,0,0,0.1,0,0,-1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,29.56999969,192,0
14385,1400,100,0,0,0,0,0,0,-1,1,0.01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,29.56999969,500,0
14411,1400,99.9,0,0,0,0.1,0,0,0,3,0,1,0,0,4,0.01,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.56999969,236.5599976,0
14412,1400,99.9,0,0,0,0.1,0,0,-1,3,0,1,0,0,5,0.01,0.016,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.56999969,237,0
14429,1400,99.9,0,0,0,0.1,0,0,0,3,0,1,0,1,3,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.56999969,237,0
14432,1400,99.98,0,0,0,0,0,-1,-1,3,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.56999969,331,0
14433,1400,99.97,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.56999969,500,0
14434,1400,99.96,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.56999969,500,0
14437,1400,100,0,0,0,0.1,0,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.56999969,500,0
14438,1400,100,0,0,0,0.1,0,-1,-1,3,-1,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.56999969,237,0
14439,1400,100,0,0,0,0.1,0,-1,-1,4,-1,2,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.56999969,-1,0
14440,1400,99.97,0,0,0,0,0.03,-1,-1,3,0.01,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.56999969,251.3500061,0
14537,1400,99.8,0,0,0,0.1,0.1,0,-1,4,0.04,1,0,2,16,0.05,0.025,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,29.60000038,355,0
14555,1400,99.98,0,0,0,0.07,0,0,0,10,0,2,0,0,2,0,0.007,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.56999969,237,0
