1.0932,0.68604,1.0642,-1.7067,1,-1.0633,0.43272,2.0925,-0.5058,-2.0182,1.9359,-1.83,0.24102,1.0311,1.2499,-0.54082,-0.29393,-2.002,1.3689,1.0194,-0.89985,1.6969,0.66856,-0.12438,-0.46032,-0.6928
-0.24587,1.3142,-1.9519,-1.6913,1,-0.76722,-1.2649,0.40401,-0.71203,-2.1633,-1.2961,1.238,0.43795,1.2638,0.4682,-1.113,-0.072565,0.81875,-1.0633,2.4696,0.23281,-0.33982,0.29152,0.36191,0.90116,2.8342
0.29355,0.063281,-0.19824,-0.165,1,1.3433,-0.88355,1.6167,-0.19683,-0.30184,-0.70223,-0.050736,-0.60507,-1.235,-1.417,-0.019754,-0.14392,-1.245,1.4869,-1.0071,-1.2844,-0.38307,-1.7144,-0.62653,-1.6265,0.030777
-1.0979,-1.26,0.39755,0.5775,1,-1.0114,1.3235,-1.3851,-0.45574,-0.85534,0.41586,-0.0016434,0.68009,1.3705,1.1266,-0.25125,0.26431,0.9203,1.5874,-0.065146,1.5224,-0.81754,-0.74239,2.1531,-0.96054,0.81821
0.39748,0.78625,0.26016,-0.011131,1,-1.1756,-0.69084,-1.1544,0.33425,-1.0392,0.31846,0.56434,-2.0079,-0.32366,-0.53496,-0.15521,0.18614,0.71933,-0.50951,-0.80403,-0.20712,0.10596,0.52379,-0.93302,0.15098,-0.71617
0.28002,1.4371,-0.87259,0.30276,1,1.4567,1.5178,-0.53178,-0.54403,0.57082,0.096565,1.2367,1.0499,-0.094066,-0.20807,-0.3164,0.39067,-0.94227,1.0799,0.34702,0.10734,-0.71371,0.31648,0.045798,-0.13459,1.4618
1.1287,0.083282,0.67543,-0.5012,1,-0.63505,0.35046,-0.6317,-1.7207,1.529,-0.52457,1.3999,-0.65084,0.78134,0.32354,-0.085216,-0.40863,1.5288,-1.8602,0.73931,-0.76083,0.3904,-0.54148,-0.51308,0.022662,-0.23035
-0.24753,-0.2042,-1.5836,0.39,1,-0.12961,-0.98676,0.88402,-0.25459,1.3312,-0.22264,-0.089915,2.4612,0.91021,-0.6011,0.0059575,1.3612,0.53509,0.61544,-0.38263,-0.5118,1.1778,1.4221,2.1116,0.086529,-0.18234
0.33984,-0.32967,0.30077,1.1418,1,0.0064554,-0.36836,0.14184,-0.28509,-1.7481,0.039881,0.32786,-1.1203,0.25744,-0.38577,-0.89112,0.37703,0.21569,-0.20535,1.358,0.61742,-0.025586,-0.22161,0.36005,0.71529,-0.70333
-0.97615,-0.092702,-0.67664,-0.34855,1,-0.5156,-1.4973,0.34423,1.9443,0.75761,0.019071,-1.016,1.9814,1.5339,-0.82383,-0.67269,1.6603,-0.34016,-1.2803,-0.20654,-0.53573,0.71092,0.39137,-0.21351,-0.017419,0.77064
